Variable,VIF
const,1.2876617420675316
F_유동자산 변화율,1.4149621959038734
F_비유동자산 변화율,2.5061959915128624
F_자산총계 변화율,9.154097097750892
F_유동부채 변화율,2.972353898782074
F_비유동부채 변화율,1.0268621407185852
F_부채총계 변화율,6.124546715611748
F_이익잉여금 변화율,1.0217722582996578
F_자본총계 변화율,4.212864003831553
F_매출액 변화율,1.115566775008424
F_영업이익 변화율,1.0974487368202557
F_법인세차감전 순이익 변화율,1.1476785945796262
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4235395934563702
M_환율 변화율,45.17011448522707
M_GDP 변화율,135.58508538086298
M_금리 변화율,3.689645325138215
M_수출액 변화율,21.999800154298967
M_실업률 변화율,9.267719298042568
M_국제유가 변화율,5.585206968477414
M_주택가격 변화율,102.62536857670652
Relative Return,1.0975842224493502
